antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'another', 'take'})",frozenset({'even'}),0.1937052200614125,0.45445240532241554,0.14559877175025587,0.7516512549537647,1.653971342544658,1.0,0.057568968569839146,2.1966996232496343,0.49038467437737004,0.28971486761710796,0.5447716249340114,0.5360170689183238
"frozenset({'another', 'even'})",frozenset({'take'}),0.19319344933469806,0.4728761514841351,0.14559877175025587,0.7536423841059602,1.5937415785097904,1.0,0.05424219693691862,2.1396693851047197,0.46175344484595526,0.2797443461160275,0.5326380762553847,0.5307714085031965
"frozenset({'another', 'us'})",frozenset({'even'}),0.14329580348004095,0.45445240532241554,0.10491299897645855,0.7321428571428571,1.6110440797940797,1.0,0.03979187641234577,2.0367110201296486,0.4427251799399714,0.21287642782969887,0.5090123291342802,0.4814993564993565
"frozenset({'another', 'want'})",frozenset({'even'}),0.14943705220061412,0.45445240532241554,0.12077789150460594,0.8082191780821918,1.778446254473652,1.0,0.052865863687745485,2.8446410293902624,0.5146137999959208,0.25,0.6484617954714847,0.5369924719239788
"frozenset({'another', 'way'})",frozenset({'even'}),0.1811668372569089,0.45445240532241554,0.13817809621289662,0.7627118644067796,1.6783096655978011,1.0,0.05584639125683975,2.2990934347126775,0.49358333333333326,0.2777777777777778,0.5650459503291251,0.5333829592304169
"frozenset({'another', 'even'})",frozenset({'way'}),0.19319344933469806,0.40736949846468784,0.13817809621289662,0.7152317880794702,1.755732303903624,1.0,0.05947697765075759,2.0810978077170263,0.5335071830473035,0.2988378527946873,0.5194843816125084,0.5272138839894838
"frozenset({'another', 'well'})",frozenset({'even'}),0.19959058341862845,0.45445240532241554,0.14636642784032752,0.7333333333333333,1.6136636636636636,1.0,0.05566200712602759,2.0458034800409415,0.4751220646361311,0.28830645161290325,0.5111944965603501,0.5277027027027027
"frozenset({'another', 'even'})",frozenset({'well'}),0.19319344933469806,0.4936028659160696,0.14636642784032752,0.7576158940397351,1.5348693177331698,1.0,0.05100558757250957,2.089234077777964,0.43192353159051533,0.27083333333333326,0.5213556917166673,0.5270712959053003
"frozenset({'another', 'would'})",frozenset({'even'}),0.15097236438075742,0.45445240532241554,0.1187308085977482,0.7864406779661016,1.730523744083066,1.0,0.05012105446770082,2.5545482607918633,0.4972043815343684,0.24395373291272346,0.6085413552962124,0.5238509696136815
"frozenset({'another', 'experience'})",frozenset({'take'}),0.15097236438075742,0.4728761514841351,0.1154042988741044,0.7644067796610169,1.616505246166263,1.0,0.04401306822527132,2.2374321627651814,0.4491980182007969,0.22697533970810266,0.5530590752015796,0.5042271993543179
"frozenset({'another', 'experience'})",frozenset({'well'}),0.15097236438075742,0.4936028659160696,0.11284544524053224,0.747457627118644,1.5142894799272477,1.0,0.03832505350806523,2.0051967054330126,0.40001558188073294,0.21222329162656395,0.5012958093884088,0.4880367451300841
"frozenset({'another', 'little'})",frozenset({'find'}),0.1555783009211873,0.36821903787103377,0.11003070624360287,0.7072368421052632,1.920696024285871,1.0,0.052743813964793114,2.157993398732649,0.5676730091613813,0.26592455163883744,0.5366065528340901,0.5030277330748693
"frozenset({'another', 'look'})",frozenset({'find'}),0.14303991811668373,0.36821903787103377,0.10440122824974411,0.7298747763864042,1.9821755567186015,1.0,0.05173120722366738,2.338844753841669,0.5782110843740302,0.25660377358490566,0.5724384876946406,0.5067025028561625
"frozenset({'another', 'looking'})",frozenset({'find'}),0.13561924257932445,0.36821903787103377,0.10005117707267144,0.7377358490566038,2.003524460120367,1.0,0.050113590053314255,2.408948992290304,0.5794663529169487,0.24778200253485422,0.5848812062021902,0.504726159413639
"frozenset({'another', 'right'})",frozenset({'find'}),0.1461105424769703,0.36821903787103377,0.10286591606960081,0.7040280210157618,1.9119815886932572,1.0,0.04906523269591599,2.1345972152404715,0.5585997194131231,0.24999999999999997,0.5315275439974066,0.49169434407285656
"frozenset({'another', 'find'})",frozenset({'take'}),0.16786079836233367,0.4728761514841351,0.1299897645854657,0.774390243902439,1.637617463836976,1.0,0.05061239627083096,2.33644084207032,0.467898615994034,0.2545090180360722,0.5719985792090931,0.524641009397107
"frozenset({'another', 'want'})",frozenset({'find'}),0.14943705220061412,0.36821903787103377,0.10465711361310133,0.7003424657534246,1.9019724504269517,1.0,0.04963154602950775,2.1083433250475214,0.5575484216441734,0.2534076827757125,0.525693947413683,0.4922838110560035
"frozenset({'another', 'find'})",frozenset({'way'}),0.16786079836233367,0.40736949846468784,0.12001023541453429,0.7149390243902439,1.755013635249418,1.0,0.051628866173788326,2.0789604759741436,0.5169854470399715,0.26363125351320965,0.5189903744892371,0.5047685071699963
"frozenset({'another', 'find'})",frozenset({'well'}),0.16786079836233367,0.4936028659160696,0.1312691914022518,0.7820121951219513,1.5842942760687329,1.0,0.04841262025564441,2.323052587126283,0.44320004603554813,0.2475868725868726,0.5695319143691692,0.5239765485718622
"frozenset({'another', 'food'})",frozenset({'take'}),0.15276356192425794,0.4728761514841351,0.10951893551688843,0.7169179229480737,1.516079676883697,1.0,0.037280690267136984,1.862088387952493,0.401781656726234,0.2121963311849281,0.4629685645053747,0.4742598272749026
"frozenset({'another', 'food'})",frozenset({'well'}),0.15276356192425794,0.4936028659160696,0.11975435005117707,0.7839195979899497,1.5881585220034855,1.0,0.04434981807781638,2.343558829830282,0.43711521037102424,0.22740524781341104,0.5732985290271467,0.5132661753557836
"frozenset({'another', 'great'})",frozenset({'take'}),0.13613101330603888,0.4728761514841351,0.1072159672466735,0.7875939849624061,1.665539660840413,1.0,0.04284285757687824,2.481680419561418,0.4625632005791266,0.2136664966853646,0.5970472297247975,0.5071627933470039
